file_idx,file_number,detail,budget,company,materials,title,description,content
11,01- (11),Component,0.00,THE ENGINEER,Carbon Steels,식물성 계란 생산 장비 도킹부,기타 (etc),식물성 계란 생산 장비 도킹부 기타 (etc) Plant-based Egg Production Equipment Docking Station
12,01- (12),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
13,01- (13),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
14,01- (14),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
15,01- (15),Component,0.00,THE ENGINEER,etc,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
16,01- (16),Component,"32,000.00",THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
17,01- (17),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,"Plate (플레이트, 판재)","식물성 계란 생산 장비 도킹부 Plate (플레이트, 판재) Plant-based Egg Production Equipment Docking Station"
18,01- (18),Component,"12,000.00",THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 도킹부,기타 (etc),식물성 계란 생산 장비 도킹부 기타 (etc) Plant-based Egg Production Equipment Docking Station
19,01- (19),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 몰드지그,"Plate (플레이트, 판재)","식물성 계란 생산 장비 몰드지그 Plate (플레이트, 판재) Plant-based Egg Production Equipment Mold Jig"
20,01- (20),Component,0.00,THE ENGINEER,Carbon Steels,식물성 계란 생산 장비 스카라 로봇,"Pulley (풀리, 도르래)","식물성 계란 생산 장비 스카라 로봇 Pulley (풀리, 도르래) Plant-based Egg Production Equipment SCARA Robot"
21,01- (21),Component,0.00,THE ENGINEER,Carbon Steels,식물성 계란 생산 장비 스카라 로봇,"Pulley (풀리, 도르래)","식물성 계란 생산 장비 스카라 로봇 Pulley (풀리, 도르래) Plant-based Egg Production Equipment SCARA Robot"
22,01- (22),Component,0.00,THE ENGINEER,Aluminum Alloys,스카라로봇 PART01,Robot (로봇),스카라로봇 파트01 Robot (로봇) SCARA Robot PART01
23,01- (23),Component,0.00,THE ENGINEER,Aluminum Alloys,스카라로봇 PART02,Robot (로봇),스카라로봇 파트02 Robot (로봇) SCARA Robot PART02
24,01- (24),Component,0.00,THE ENGINEER,Aluminum Alloys,스카라로봇 PART03,Robot (로봇),스카라로봇 파트03 Robot (로봇) SCARA Robot PART03
25,01- (25),Component,"26,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART04,Robot (로봇),스카라로봇 파트04 Robot (로봇) SCARA Robot PART04
26,01- (26),Component,"25,000.00",THE ENGINEER,Carbon Steels,스카라로봇 PART05,Robot (로봇),스카라로봇 파트05 Robot (로봇) SCARA Robot PART05
27,01- (27),Component,0.00,THE ENGINEER,Carbon Steels,스카라로봇 PART06,Robot (로봇),스카라로봇 파트06 Robot (로봇) SCARA Robot PART06
28,01- (28),Component,0.00,THE ENGINEER,Carbon Steels,스카라로봇 PART07,Robot (로봇),스카라로봇 파트07 Robot (로봇) SCARA Robot PART07
29,01- (29),Component,0.00,THE ENGINEER,Aluminum Alloys,식물성 계란 생산 장비 몰드지그,"Plate (플레이트, 판재)","식물성 계란 생산 장비 몰드지그 Plate (플레이트, 판재) Plant-based Egg Production Equipment Mold Jig"
30,01- (30),Component,"12,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART16,Robot (로봇),스카라로봇 파트16 Robot (로봇) SCARA Robot PART16
31,01- (31),Component,0.00,THE ENGINEER,Carbon Steels,스카라로봇 PART15,Robot (로봇),스카라로봇 파트15 Robot (로봇) SCARA Robot PART15
32,01- (32),Component,0.00,THE ENGINEER,Carbon Steels,스카라로봇 PART14,Robot (로봇),스카라로봇 파트14 Robot (로봇) SCARA Robot PART14
33,01- (34),Component,"16,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART11,Robot (로봇),스카라로봇 파트11 Robot (로봇) SCARA Robot PART11
34,01- (35),Component,"15,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART12,Robot (로봇),스카라로봇 파트12 Robot (로봇) SCARA Robot PART12
35,01- (36),Component,"35,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART10,Robot (로봇),스카라로봇 파트10 Robot (로봇) SCARA Robot PART10
36,01- (37),Component,"25,000.00",THE ENGINEER,Aluminum Alloys,스카라로봇 PART09,Robot (로봇),스카라로봇 파트09 Robot (로봇) SCARA Robot PART09
37,01- (38),Component,0.00,THE ENGINEER,Carbon Steels,스카라로봇 PART08,Robot (로봇),스카라로봇 파트08 Robot (로봇) SCARA Robot PART08
38,01- (39),Component,0.00,THE ENGINEER,Aluminum Alloys,스카라로봇 PART17,Robot (로봇),스카라로봇 파트17 Robot (로봇) SCARA Robot PART17
39,01- (40),Component,"5,000.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Bracket (브라켓, 지지대)","인하대 실험기기 벨트 컨베이어 Bracket (브라켓, 지지대) Inha University Experimental Equipment Belt Conveyor"
40,01- (41),Component,"6,500.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Bracket (브라켓, 지지대)","인하대 실험기기 벨트 컨베이어 Bracket (브라켓, 지지대) Inha University Experimental Equipment Belt Conveyor"
41,01- (42),Component,"32,500.00",THE ENGINEER,Stainless Steels,인하대 실험기기 벨트 컨베이어,Motor (모터),인하대 실험기기 벨트 컨베이어 Motor (모터) Inha University Experimental Equipment Belt Conveyor
42,01- (43),Component,0.00,THE ENGINEER,MC Nylon,인하대 실험기기 벨트 컨베이어,"Fix/Adjust (고정부품, 조정부품)","인하대 실험기기 벨트 컨베이어 Fix/Adjust (고정부품, 조정부품) Inha University Experimental Equipment Belt Conveyor"
43,01- (44),Component,"14,000.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Bracket (브라켓, 지지대)","인하대 실험기기 벨트 컨베이어 Bracket (브라켓, 지지대) Inha University Experimental Equipment Belt Conveyor"
44,01- (45),Component,"9,000.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Stopper (스토퍼, 멈추게 하는 부품)","인하대 실험기기 벨트 컨베이어 Stopper (스토퍼, 멈추게 하는 부품) Inha University Experimental Equipment Belt Conveyor"
45,01- (46),Component,"4,000.00",THE ENGINEER,Carbon Steels,인하대 실험기기 벨트 컨베이어,"shaft (샤프트, 축)","인하대 실험기기 벨트 컨베이어 shaft (샤프트, 축) Inha University Experimental Equipment Belt Conveyor"
46,01- (47),Component,"2,000.00",THE ENGINEER,Tefron,인하대 실험기기 벨트 컨베이어,Roller (롤러),인하대 실험기기 벨트 컨베이어 Roller (롤러) Inha University Experimental Equipment Belt Conveyor
47,01- (48),Assembly,0.00,THE ENGINEER,Ass'Y,인하대 실험기기 벨트 컨베이어,Assembly (조립품),인하대 실험기기 벨트 컨베이어 Assembly (조립품) Inha University Experimental Equipment Belt Conveyor
48,01- (49),Component,0.00,THE ENGINEER,etc,인하대 실험기기 벨트 컨베이어,"Stopper (스토퍼, 멈추게 하는 부품)","인하대 실험기기 벨트 컨베이어 Stopper (스토퍼, 멈추게 하는 부품) Inha University Experimental Equipment Belt Conveyor"
49,01- (50),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Power (전원, 전원관련부품)","EFEM 상부 전장 박스 레이아웃 Power (전원, 전원관련부품) EFEM Top Electrical Enclosure BOX Layout"
50,01- (51),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Power (전원, 전원관련부품)","EFEM 상부 전장 박스 레이아웃 Power (전원, 전원관련부품) EFEM Top Electrical Enclosure BOX Layout"
51,01- (52),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Power (전원, 전원관련부품)","EFEM 상부 전장 박스 레이아웃 Power (전원, 전원관련부품) EFEM Top Electrical Enclosure BOX Layout"
52,01- (53),Component,0.00,THE ENGINEER,Stainless Steels,인하대 실험기기 벨트 컨베이어,"Fix/Adjust (고정부품, 조정부품)","인하대 실험기기 벨트 컨베이어 Fix/Adjust (고정부품, 조정부품) Inha University Experimental Equipment Belt Conveyor"
53,01- (54),Component,"6,000.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Bracket (브라켓, 지지대)","인하대 실험기기 벨트 컨베이어 Bracket (브라켓, 지지대) Inha University Experimental Equipment Belt Conveyor"
54,01- (55),Component,0.00,THE ENGINEER,Stainless Steels,인하대 실험기기 벨트 컨베이어,"Cover (커버, 덮개)","인하대 실험기기 벨트 컨베이어 Cover (커버, 덮개) Inha University Experimental Equipment Belt Conveyor"
55,01- (56),Component,0.00,THE ENGINEER,Stainless Steels,인하대 실험기기 벨트 컨베이어,"Cover (커버, 덮개)","인하대 실험기기 벨트 컨베이어 Cover (커버, 덮개) Inha University Experimental Equipment Belt Conveyor"
56,01- (57),Component,0.00,THE ENGINEER,Stainless Steels,인하대 실험기기 벨트 컨베이어,Motor (모터),인하대 실험기기 벨트 컨베이어 Motor (모터) Inha University Experimental Equipment Belt Conveyor
57,01- (58),Component,"8,000.00",THE ENGINEER,Aluminum Alloys,인하대 실험기기 벨트 컨베이어,"Profile (프로파일, 단면)","인하대 실험기기 벨트 컨베이어 Profile (프로파일, 단면) Inha University Experimental Equipment Belt Conveyor"
58,01- (59),Component,"4,500.00",Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Power (전원, 전원관련부품)","EFEM 상부 전장 박스 레이아웃 Power (전원, 전원관련부품) EFEM Top Electrical Enclosure BOX Layout"
59,01- (60),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Base (블록,덩어리)","EFEM 상부 전장 박스 레이아웃 Base (블록,덩어리) EFEM Top Electrical Enclosure BOX Layout"
60,01- (61),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
61,01- (62),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
62,01- (63),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
63,01- (64),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Base (블록,덩어리)","EFEM 상부 전장 박스 레이아웃 Base (블록,덩어리) EFEM Top Electrical Enclosure BOX Layout"
64,01- (65),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Base (블록,덩어리)","EFEM 상부 전장 박스 레이아웃 Base (블록,덩어리) EFEM Top Electrical Enclosure BOX Layout"
65,01- (66),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
66,01- (67),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
67,01- (68),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
68,01- (69),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
69,01- (70),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
70,01- (71),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
71,01- (72),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
72,01- (73),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Bracket (브라켓, 지지대)","EFEM 상부 전장 박스 레이아웃 Bracket (브라켓, 지지대) EFEM Top Electrical Enclosure BOX Layout"
73,01- (74),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Bracket (브라켓, 지지대)","EFEM 상부 전장 박스 레이아웃 Bracket (브라켓, 지지대) EFEM Top Electrical Enclosure BOX Layout"
74,01- (75),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Door (문)/Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Door (문)/Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
75,01- (76),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Door (문)/Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Door (문)/Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
76,01- (77),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Door (문)/Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Door (문)/Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
77,01- (78),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Door (문)/Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Door (문)/Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
78,01- (79),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Base (블록,덩어리)","EFEM 상부 전장 박스 레이아웃 Base (블록,덩어리) EFEM Top Electrical Enclosure BOX Layout"
79,01- (81),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
80,01- (82),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
81,01- (83),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
82,01- (84),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
83,01- (85),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
84,01- (86),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
85,01- (87),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
86,01- (88),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
87,01- (89),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
88,01- (90),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
89,01- (91),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
90,01- (92),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
91,01- (93),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Bracket (브라켓, 지지대)","EFEM 상부 전장 박스 레이아웃 Bracket (브라켓, 지지대) EFEM Top Electrical Enclosure BOX Layout"
92,01- (94),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
93,01- (95),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
94,01- (96),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
95,01- (97),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
96,01- (98),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
97,01- (99),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Plate (플레이트, 판재)","EFEM 상부 전장 박스 레이아웃 Plate (플레이트, 판재) EFEM Top Electrical Enclosure BOX Layout"
98,01- (100),Component,0.00,Robostar,Stainless Steels,EFEM 상부 전장 BOX Layout,"Pad (패드, 받침)","EFEM 상부 전장 박스 레이아웃 Pad (패드, 받침) EFEM Top Electrical Enclosure BOX Layout"
99,02- (1),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
100,02- (2),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
101,02- (3),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
102,02- (4),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
103,02- (5),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
104,02- (6),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
105,02- (7),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
106,02- (8),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
107,02- (9),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
108,02- (10),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
109,02- (11),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
110,02- (12),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
111,02- (13),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
112,02- (14),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
113,02- (15),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
114,02- (16),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
115,02- (17),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
116,02- (18),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Cover (커버, 덮개)","EFEM 상부 전장 박스 레이아웃 Cover (커버, 덮개) EFEM Top Electrical Enclosure BOX Layout"
117,02- (19),Assembly,0.00,Robostar,Ass'Y,EFEM 상부 전장 BOX Layout,Assembly (조립품),EFEM 상부 전장 박스 레이아웃 Assembly (조립품) EFEM Top Electrical Enclosure BOX Layout
118,02- (20),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
119,02- (21),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
120,02- (22),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
121,02- (23),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
122,02- (24),Component,0.00,Robostar,Structural Steels,EFEM 상부 전장 BOX Layout,"Frame (프레임, 골격, 틀)","EFEM 상부 전장 박스 레이아웃 Frame (프레임, 골격, 틀) EFEM Top Electrical Enclosure BOX Layout"
